vin,county,zip,model
7SAYGDEF2NF397015,NEW YORK,10065,['Model X']
7SAYGDEF2NF387715,NEW YORK,10022,['Model X']
7SAYGDEF2NF381364,NEW YORK,10044,['Model X']
7SAYGDEF2NF374463,NEW YORK,10065,['Model X']
7SAYGDEF2NF365469,NEW YORK,10011,['Model X']
7SAYGDEF2NF308706,NEW YORK,10006,['Model X']
7SAYGDEF2NF308477,NEW YORK,10018,['Model X']
7SAYGDEF1PF591926,NEW YORK,10013,['Model X']
7SAYGDEF1PF590145,NEW YORK,10027,['Model X']
7SAYGDEF1PA048928,NEW YORK,10009,['Model X']
7SAYGDEF1NF541914,NEW YORK,10010,['Model X']
7SAYGDEF1NF524126,NEW YORK,10022,['Model X']
7SAYGDEF1NF505463,NEW YORK,10022,['Model X']
7SAYGDEF1NF457219,NEW YORK,10023,['Model X']
7SAYGDEF1NF454563,NEW YORK,10021,['Model X']
7SAYGDEF1NF452389,NEW YORK,10017,['Model X']
7SAYGDEF1NF439951,NEW YORK,10011,['Model X']
7SAYGDEF1NF377628,NEW YORK,10023,['Model X']
7SAYGDEF1NF373790,NEW YORK,10027,['Model X']
7SAYGDEF1NF318708,NEW YORK,10065,['Model X']
7SAYGDEF0PA048919,NEW YORK,10065,['Model X']
7SAYGDEF0NF406150,NEW YORK,10027,['Model X']
7SAYGDEF0NF403684,NEW YORK,10004,['Model X']
7SAYGDEF0NF396185,NEW YORK,10011,['Model X']
7SAYGDEF0NF353899,NEW YORK,10001,['Model X']
7SAYGDEF0NF319476,NEW YORK,10075,['Model X']
7SAYGDEFXPF597479,NEW YORK,10022,['Model X']
7SAYGDEFXNF530118,NEW YORK,10018,['Model X']
7SAYGDEFXNF515389,NEW YORK,10019,['Model X']
7SAYGDEFXNF512847,NEW YORK,10013,['Model X']
7SAYGDEFXNF505137,NEW YORK,10003,['Model X']
7SAYGDEFXNF468753,NEW YORK,10044,['Model X']
7SAYGDEFXNF393892,NEW YORK,10075,['Model X']
7SAYGDEFXNF393634,NEW YORK,10009,['Model X']
7SAYGDEFXNF392483,NEW YORK,10014,['Model X']
7SAYGDEFXNF380690,NEW YORK,10023,['Model X']
7SAYGDEFXNF308744,NEW YORK,10012,['Model X']
7SAYGDEE9PF697743,NEW YORK,10037,['Model X']
7SAYGDEE9PF645304,NEW YORK,10027,['Model X']
7SAYGDEE9PF627370,NEW YORK,10075,['Model X']
7SAYGDEE9PF614487,NEW YORK,10282,['Model X']
7SAYGDEE9PF608379,NEW YORK,10065,['Model X']
7SAYGDEE9PA070375,NEW YORK,10002,['Model X']
7SAYGDEE9PA054953,NEW YORK,10065,['Model X']
7SAYGDEE9PA034783,NEW YORK,10031,['Model X']
7SAYGDEE9PA033746,NEW YORK,10022,['Model X']
7SAYGDEE9PA029597,NEW YORK,10027,['Model X']
7SAYGDEE9NF546799,NEW YORK,10038,['Model X']
7SAYGDEE9NF450929,NEW YORK,10002,['Model X']
7SAYGDEE9NF445407,NEW YORK,10038,['Model X']
7SAYGDEE9NF437436,NEW YORK,10282,['Model X']
7SAYGDEE9NF434018,NEW YORK,10011,['Model X']
7SAYGDEE9NF424279,NEW YORK,10128,['Model X']
7SAYGDEE9NF392952,NEW YORK,10001,['Model X']
7SAYGDEE9NF371969,NEW YORK,10004,['Model X']
7SAYGDEE9NF358056,NEW YORK,10038,['Model X']
7SAYGDEE9NF338812,NEW YORK,10013,['Model X']
7SAYGDEE9NF328300,NEW YORK,10001,['Model X']
7SAYGDEE9NF322996,NEW YORK,10002,['Model X']
7SAYGDEE9NA019388,NEW YORK,10025,['Model X']
7SAYGDEE9NA009301,NEW YORK,10024,['Model X']
7SAYGDEE9NA009203,NEW YORK,10019,['Model X']
7SAYGDEE9NA008391,NEW YORK,10025,['Model X']
7SAYGDEE8PF623651,NEW YORK,10028,['Model X']
7SAYGDEE8PF612990,NEW YORK,11797,['Model X']
7SAYGDEE8PA059450,NEW YORK,10030,['Model X']
7SAYGDEE8PA052174,NEW YORK,10028,['Model X']
7SAYGDEE8PA033012,NEW YORK,10280,['Model X']
7SAYGDEE8PA030952,NEW YORK,10016,['Model X']
7SAYGDEE8PA027307,NEW YORK,10022,['Model X']
7SAYGDEE8NF464644,NEW YORK,11040,['Model X']
7SAYGDEE8NF447732,NEW YORK,10003,['Model X']
7SAYGDEE8NF440876,NEW YORK,10023,['Model X']
7SAYGDEE8NF432941,NEW YORK,10065,['Model X']
7SAYGDEE8NF419266,NEW YORK,10003,['Model X']
7SAYGDEE8NF364091,NEW YORK,10019,['Model X']
7SAYGDEE8NF320561,NEW YORK,10028,['Model X']
7SAYGDEE8NF311262,NEW YORK,10016,['Model X']
7SAYGDEE8NF308510,NEW YORK,10021,['Model X']
7SAYGDEE8NA018975,NEW YORK,10013,['Model X']
7SAYGDEE8NA016157,NEW YORK,10024,['Model X']
7SAYGDEE8NA015638,NEW YORK,10016,['Model X']
7SAYGDEE8NA014974,NEW YORK,10029,['Model X']
7SAYGDEE8NA013680,NEW YORK,10128,['Model X']
7SAYGDEE8NA008558,NEW YORK,10038,['Model X']
7SAYGDEE8NA006633,NEW YORK,10033,['Model X']
7SAYGDEE7PF666443,NEW YORK,10036,['Model X']
